Nombre ejercicio;Pasos;Duración;;;;;;;;;;;;;;;;;;;;;;;
Mantra breve “aquí, ahora”;"[""Inhala pensando estoy."",""Exhala pensando aquí."",""Mantén el ritmo agradable."",""Si te distraes, vuelve al mantra."",""Percibe el cuerpo presente.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Ordena 3 cosas consciente;"[""Elige tres objetos cercanos."",""Toma el primero notando textura y peso."",""Colócalo con atención y respira."",""Repite con los otros dos."",""Observa el efecto de ordenar.""]";1;;;;;;;;;;;;;;;;;;;;;;;
S.T.O.P. en 60s;"[""Detente un minuto a obervar cuerpo, pensamientos y emociones."",""Respira lentamente.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Bocado consciente único;"[""Coge algo de comer y míralo con curiosidad."",""Huele y nota su aroma."",""Da un bocado pequeño y mastica lento."",""Percibe textura y sabor."",""Traga y siente el sabor posterior.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Caminar 4 sentidos;"[""Comienza a caminar a ritmo lento."",""Nota durante 15 s lo que ves."",""Nota 15 s lo que oyes."",""Nota 15 s olores y aire en la piel.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Manos ancla;"[""Junta palmas o apóyalas en muslos."",""Siente temperatura y presión."",""Percibe micro-vibraciones o pulso."",""Inhala por nariz y exhala más largo."",""Suelta hombros.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Soplar vela;"[""Imagina una vela frente a ti."",""Inhala por la nariz suave."",""Exhala por la boca como si soplaras la llama sin apagarla."",""Repite."",""Relaja la mandíbula.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Enviar buenos deseos;"[""Piensa en alguien a quien quieras enviar buenos deseos."",""Inhala pensando que esté bien."",""Exhala pensando que esté en paz."",""Inclúyete a ti también."",""Siente el eco amable.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Sonrisa suave interna;"[""Suaviza ojos y comisuras."",""Permite una micro-sonrisa interna."",""Inhala notando el pecho."",""Exhala soltando hombros."",""Observa el cambio de ánimo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Rodar hombros consciente;"[""Haz 2 círculos hacia atrás lentos."",""Haz 2 hacia delante."",""Respira sin forzar."",""Repite.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Agradecimiento sensorial;"[""Mira a tu alrededor y elige algo simple."",""Nombra mentalmente 3 motivos para agradecerlo."",""Respira con esa sensación.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Una línea consciente;"[""Abre un documento o papel."",""Escribe una sola línea con plena atención."",""Percibe contacto de dedos y bolígrafo/teclado."",""Respira antes y después de la línea."",""Lee en silencio lo escrito.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Respiración 2-4;"[""Adopta postura cómoda."",""Inhala 2 por la nariz."",""Exhala 4 por la nariz o boca."",""Repite."",""Suaviza abdomen.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Ver-Oír-Oler-Sentir;"[""Mira colores y formas 15 s."",""Escucha capas de sonidos 15 s."",""Percibe olores 15 s."",""Siente aire en piel y ropa 15 s."",""Respira natural.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Objeto de enfoque 60s;"[""Elige un objeto cercano."",""Observa color, textura y sombras."",""Si surge un pensamiento, nómbralo y vuelve."",""Respira suave mientras miras."",""Cierra con una exhalación larga.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Rutina 3-2-1 pre-rendimiento;"[""3 respiraciones nasales lentas."",""2 chequeos corporales (pies y manos)."",""1 palabra clave (p. ej., foco)."",""Visualiza lo siguiente que realizarás."",""Empieza con calma.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Foco respiración deportiva;"[""Postura estable."",""Inhala por nariz 4."",""Exhala 6 relajando hombros."",""Siente planta de los pies."",""Dirige la atención a tu siguiente tarea.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Alinea y respira en silla;"[""Apoya ambos pies."",""Alarga la columna."",""Relaja hombros y mandíbula."",""Inhala y exhala fluido sin retener."",""Ajusta si hay molestias.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Cuello amable;"[""Alarga coronilla al inhalar."",""Exhala y gira el cuello a la derecha."",""Inhala al centro."",""Exhala y gira a la izquierda."",""Repite.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Masaje facial consciente;"[""Relaja la frente con yemas de dedos."",""Desliza sobre pómulos suavemente."",""Afloja mandíbula con círculos pequeños."",""Respiraciones largas."",""Descansa el rostro.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Triángulo respiratorio 3-3-3;"[""Inhala 3."",""Pausa cómoda 3 si sienta bien."",""Exhala 3."",""Repite el ciclo con suavidad."",""Omite la pausa si no es cómoda.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Contar sonidos hasta 10;"[""Siéntate o de pie estable."",""Cuenta mentalmente 1 sonido, luego 2… hasta 10."",""Si te distraes, vuelve a 1 con amabilidad."",""Si no hay 10, imagina uno a uno los que falten.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Pies raíz al suelo;"[""De pie, coloca plantas firmes."",""Distribuye peso entre talones y metatarsos."",""Siente texturas y temperatura."",""Respira dejando caer el peso."",""Micro-flexiona rodillas si ayuda.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Autocompasión 1 frase + toque;"[""Mano al pecho o brazo."",""Inhala reconociendo: es difícil."",""Exhala diciendo: que sea amable conmigo ahora."",""Permite suavidad en el gesto."",""Respira 2 veces más.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Espacio de silencio;"[""Haz una pausa en lo que estés haciendo."",""Escucha el silencio entre sonidos."",""Siente el cuerpo quieto."",""Inhala y exhala lento."",""Vuelve renovando la atención.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Olas en el agua;"[""Imagina olas suaves."",""Inhala cuando la ola sube."",""Exhala cuando la ola baja."",""Siente vaivén en abdomen."",""Repite durante un minuto.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Oler una fruta o bebida;"[""Acerca la fruta o taza."",""Inhala el aroma por la nariz."",""Nombra mentalmente 2 notas de olor."",""Exhala por la boca suave."",""Percibe cómo afecta al cuerpo.""]";1;;;;;;;;;;;;;;;;;;;;;;;
8 pasos atentos;"[""Elige un tramo corto."",""Camina 8 pasos sintiendo la planta."",""Cuenta cada paso en silencio."",""Respira al ritmo."",""Detente y observa el efecto.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Pinza pulgar-índice;"[""Une pulgar e índice de una mano."",""Aprieta suave al inhalar."",""Afloja al exhalar."",""Repite 10 veces."",""Percibe el pulso si aparece.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Costillas laterales;"[""Coloca manos en costillas."",""Inhala expandiendo a los lados."",""Exhala dejando que bajen."",""Repite."",""Mantén cuello suelto.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Respiración en la espalda;"[""Imagina que inhalas hacia la zona lumbar."",""Exhala soltando peso hacia el asiento o pies."",""Siente la piel y ropa moverse."",""Repite de forma cómoda."",""Descansa un instante.""]";1;;;;;;;;;;;;;;;;;;;;;;;
Cuenta con dedos 1-5;"[""En la inhalación toca dedo 1 con pulgar."",""Exhala y cambia al dedo 2."",""Sigue hasta 5 y vuelve a 1 si hay tiempo."",""Mantén ritmo nasal cómodo."",""Relaja los hombros.""]";1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
